day,S population rate,I population rate,R population rate,estimated flu population rate
1.1926079
41421
0,85.25,13.75,1.0,13.702726
1,74.5,20.25,5.25,17.657957
2,65.25,23.5,11.25,22.304092
3,57.25,24.5,18.25,23.967485
4,50.0,24.25,25.75,23.919928
5,43.75,23.25,33.0,23.521862
6,38.25,21.75,40.0,22.007992
7,33.5,20.0,46.5,20.653448
8,29.249998,18.0,52.749996,18.315115
9,25.75,16.25,58.0,16.544748
10,22.5,14.5,63.0,15.119561
11,19.5,13.0,67.5,13.216997
12,17.25,11.5,71.25,11.751207
13,15.000001,10.25,74.75,10.447509
14,13.0,9.0,78.0,9.977709
15,11.5,8.0,80.5,9.195063
16,10.0,7.0,83.0,7.5585313
17,8.75,6.0,85.25,6.5940285
18,7.75,5.25,87.0,6.070858
19,6.7500005,4.75,88.5,4.878918
20,5.75,4.0,90.25,5.3371263
21,5.0,3.5,91.5,4.1296096
22,4.5,3.0,92.5,4.3964744
23,3.7500002,2.75,93.5,3.3002243
24,3.25,2.25,94.5,3.4430268
25,3.0,2.0,95.0,3.7436755
26,2.5,1.75,95.75,4.355216
27,2.25,1.5,96.25,2.623552
28,2.0,1.25,96.75,2.4827936
29,1.75,1.25,97.0,3.1834798